master_id,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment,interested_in_categories_12
000c1fe2-a8b7-11ea-8479-000d3a38a36f,57,7,874.16,5,4,4,544,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
003903e0-abce-11e9-a2fc-000d3a38a36f,98,5,577.47,4,4,3,443,loyal_customers,[KADIN]
004bec18-9f7a-11e9-a2fc-000d3a38a36f,129,12,684.91,3,5,4,354,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
00534fe4-a6b4-11e9-a2fc-000d3a38a36f,93,16,800.59,4,5,4,454,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
009293fe-1f3e-11ea-87bf-000d3a38a36f,159,6,725.18,3,4,4,344,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
00a10df4-5f9d-11ea-8dd8-000d3a38a36f,164,13,906.34,3,5,4,354,loyal_customers,"[ERKEK, KADIN]"
00a7bc8e-b085-11e9-9757-000d3a38a36f,122,5,610.33,3,4,3,343,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
00b3ee24-aa44-11e9-a2fc-000d3a38a36f,54,8,2027.78,5,5,5,555,champions,"[ERKEK, KADIN, AKTIFSPOR]"
00cf8494-9da2-11e9-9897-000d3a38a36f,35,53,6275.33,5,5,5,555,champions,"[AKTIFCOCUK, KADIN]"
00f037ce-9fa6-11e9-a2fc-000d3a38a36f,88,18,1896.03,4,5,5,455,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
010be698-1942-11ea-b6a2-000d3a38a36f,97,5,573.8,4,4,3,443,loyal_customers,"[COCUK, KADIN]"
015ad42c-a4cd-11e9-a2fc-000d3a38a36f,153,5,674.88,3,4,4,344,loyal_customers,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
018a6c62-a132-11e9-a2fc-000d3a38a36f,147,5,679.67,3,4,4,344,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
01eb536e-a854-11e9-a2fc-000d3a38a36f,149,12,1466.19,3,5,5,355,loyal_customers,"[KADIN, AKTIFSPOR]"
01eb8378-ae96-11e9-a2fc-000d3a38a36f,168,6,500.66,3,4,3,343,loyal_customers,[KADIN]
01ec6786-636b-11ea-a6dc-000d3a38a36f,83,6,988.36,4,4,4,444,loyal_customers,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
02098f82-9f8f-11e9-a2fc-000d3a38a36f,170,7,1626.31,3,4,5,345,loyal_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0211e640-2370-11ea-8523-000d3a38a36f,93,7,1222.99,4,4,5,445,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
02355648-60f1-11ea-8dd8-000d3a38a36f,163,5,1357.01,3,4,5,345,loyal_customers,"[KADIN, AKTIFSPOR]"
02398b8c-a9f9-11e9-a2fc-000d3a38a36f,153,5,487.18,3,4,3,343,loyal_customers,"[ERKEK, COCUK, KADIN]"
024da65a-5b36-11ea-b7e2-000d3a38a36f,45,11,2312.01,5,5,5,555,champions,"[ERKEK, KADIN, AKTIFSPOR]"
0250d14a-a24f-11e9-a2fc-000d3a38a36f,72,5,686.91,4,4,4,444,loyal_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0282144a-21d2-11eb-99f8-000d3a38a36f,64,10,1170.6,4,5,5,455,loyal_customers,"[ERKEK, KADIN]"
02a5bc6c-d663-11e9-93bc-000d3a38a36f,49,11,1578.7,5,5,5,555,champions,"[ERKEK, KADIN, AKTIFSPOR]"
02b56648-133b-11ea-a001-000d3a38a36f,76,6,800.02,4,4,4,444,loyal_customers,"[COCUK, KADIN]"
02c4d744-3db2-11ea-9e19-000d3a38a36f,98,6,1082.61,4,4,5,445,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
02d6802a-a37f-11e9-a2fc-000d3a38a36f,164,5,588.25,3,4,3,343,loyal_customers,"[ERKEK, KADIN]"
02d9ce2c-1c76-11ea-a490-000d3a38a36f,121,5,816.91,3,4,4,344,loyal_customers,"[ERKEK, KADIN]"
02dad82c-abaa-11e9-a2fc-000d3a38a36f,36,8,1348.33,5,5,5,555,champions,"[ERKEK, KADIN]"
02e28698-b1dc-11e9-89fa-000d3a38a36f,85,7,689.93,4,4,4,444,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
02ed79a6-19d5-11eb-8d74-000d3a38a36f,104,5,931.43,4,4,4,444,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0309458c-afe5-11ea-b736-000d3a38a36f,165,6,1204,3,4,5,345,loyal_customers,"[KADIN, AKTIFSPOR]"
036d9bda-aa0b-11e9-a2fc-000d3a38a36f,43,5,727.44,5,4,4,544,champions,"[ERKEK, COCUK, KADIN]"
037fee06-1b3b-11ea-a050-000d3a38a36f,71,11,1442.18,4,5,5,455,loyal_customers,"[ERKEK, COCUK, KADIN]"
03bcfdfe-b0c0-11e9-9757-000d3a38a36f,63,12,2006.94,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
03be2542-52f7-11ea-9ade-000d3a38a36f,33,5,807.84,5,4,4,544,champions,[KADIN]
03c9a6a2-a68f-11e9-a2fc-000d3a38a36f,146,13,2197.69,3,5,5,355,loyal_customers,"[AKTIFCOCUK, ERKEK, KADIN]"
03cf7626-2c4b-11ea-b752-000d3a38a36f,92,7,794.85,4,4,4,444,loyal_customers,[KADIN]
03d21590-2622-11ea-8e1c-000d3a38a36f,51,6,601.28,5,4,3,543,champions,"[ERKEK, KADIN]"
03deef66-530f-11eb-9e65-000d3a38a36f,53,7,929.95,5,4,4,544,champions,"[ERKEK, KADIN, AKTIFSPOR]"
03f502d4-a559-11e9-a2fc-000d3a38a36f,128,61,2758.47,3,5,5,355,loyal_customers,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
03fd22ee-ae45-11e9-a2fc-000d3a38a36f,76,6,325.93,4,4,2,442,loyal_customers,"[KADIN, AKTIFSPOR]"
04376f3c-12d4-11ea-a001-000d3a38a36f,85,5,838.62,4,4,4,444,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
043e49f8-a3d3-11e9-a2fc-000d3a38a36f,98,5,1187.68,4,4,5,445,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
