master_id,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment,interested_in_categories_12,
0018c6aa-ab6c-11e9-a2fc-000d3a38a36f,156,2,317.91,3,1,2,312,about_to_sleep,[AKTIFCOCUK],
00414e84-adc6-11e9-a2fc-000d3a38a36f,150,3,303.44,3,2,2,322,about_to_sleep,[ERKEK],
007cdfe4-1f54-11ea-87bf-000d3a38a36f,385,8,778.88,1,5,4,154,cant_loose,[ERKEK],
00c2168c-a875-11e9-a2fc-000d3a38a36f,150,3,381.96,3,2,2,322,about_to_sleep,[ERKEK],
00f6c98e-abb5-11e9-a2fc-000d3a38a36f,193,12,2199.8,2,5,5,255,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
00f7553c-5bbb-11ea-b88d-000d3a38a36f,204,12,1754.27,2,5,5,255,cant_loose,"[AKTIFCOCUK, COCUK]",
0179158a-aac8-11e9-a2fc-000d3a38a36f,38,2,110.87,5,1,1,511,new_customers,"[ERKEK, KADIN]",
017bd900-a97e-11e9-a2fc-000d3a38a36f,280,8,699.9,1,5,4,154,cant_loose,[AKTIFCOCUK],
017d86e2-5599-11eb-9e65-000d3a38a36f,164,2,154.97,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, KADIN]",
01defd1e-a582-11e9-a2fc-000d3a38a36f,274,8,1497.5,1,5,5,155,cant_loose,"[AKTIFCOCUK, AKTIFSPOR]",
02c605a4-993f-11ea-b97a-000d3a38a36f,143,3,282.08,3,2,1,321,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]",
02d44576-a596-11e9-a2fc-000d3a38a36f,267,11,847.45,1,5,4,154,cant_loose,[COCUK],
02d797b2-5b53-11ea-9849-000d3a38a36f,121,3,635.37,3,2,3,323,about_to_sleep,"[ERKEK, AKTIFSPOR]",
02ddf53a-d683-11e9-93bc-000d3a38a36f,166,3,492.46,3,2,3,323,about_to_sleep,"[ERKEK, KADIN]",
034a8960-c855-11ea-8ddc-000d3a38a36f,134,2,254.86,3,1,1,311,about_to_sleep,"[ERKEK, KADIN]",
03ba116e-5bc6-11ea-899b-000d3a38a36f,166,2,197.28,3,1,1,311,about_to_sleep,[ERKEK],
03be6bb2-1f60-11ea-87bf-000d3a38a36f,45,2,309.21,5,1,2,512,new_customers,[COCUK],
048bbbe4-1cfe-11ea-a490-000d3a38a36f,116,3,313.96,3,2,2,322,about_to_sleep,[AKTIFCOCUK],
04901038-a411-11e9-a2fc-000d3a38a36f,139,2,430.38,3,1,2,312,about_to_sleep,"[ERKEK, KADIN]",
04937794-508e-11ea-99ba-000d3a38a36f,115,3,343.95,3,2,2,322,about_to_sleep,"[AKTIFCOCUK, COCUK]",
04cd5a8e-41d6-11ea-96d9-000d3a38a36f,175,3,180.97,3,2,1,321,about_to_sleep,[AKTIFCOCUK],
04f94ad2-49e1-11ea-8a4f-000d3a38a36f,159,3,672.04,3,2,4,324,about_to_sleep,"[AKTIFCOCUK, KADIN, AKTIFSPOR]",
050b9782-9775-11ea-a9c8-000d3a38a36f,150,3,535.06,3,2,3,323,about_to_sleep,"[COCUK, KADIN]",
0515c070-9e6c-11e9-9897-000d3a38a36f,198,8,1402.27,2,5,5,255,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]",
052759d6-73f3-11ea-92d0-000d3a38a36f,175,3,601.38,3,2,3,323,about_to_sleep,"[ERKEK, AKTIFSPOR]",
05396bb6-a456-11e9-a2fc-000d3a38a36f,57,2,537.46,5,1,3,513,new_customers,"[ERKEK, AKTIFSPOR]",
055f4316-ab32-11ea-b736-000d3a38a36f,126,2,217.46,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, COCUK, KADIN]",
056e803c-a378-11e9-a2fc-000d3a38a36f,237,8,1247.87,2,5,5,255,cant_loose,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",
0574ac66-3c96-11ea-b550-000d3a38a36f,49,2,248.46,5,1,1,511,new_customers,[COCUK],
05ca4e72-d68f-11e9-93bc-000d3a38a36f,152,3,237.97,3,2,1,321,about_to_sleep,"[COCUK, KADIN]",
05f83906-9707-11eb-8c2a-000d3a38a36f,57,2,229.75,5,1,1,511,new_customers,"[AKTIFCOCUK, COCUK]",
05ff5f30-a256-11e9-a2fc-000d3a38a36f,46,2,698.15,5,1,4,514,new_customers,"[COCUK, AKTIFSPOR]",
062e21a4-9dc8-11e9-9897-000d3a38a36f,267,11,1324.28,1,5,5,155,cant_loose,"[AKTIFCOCUK, AKTIFSPOR]",
06548210-bd28-11ea-aa61-000d3a38a36f,170,2,200.48,3,1,1,311,about_to_sleep,"[ERKEK, COCUK]",
06671b06-ac34-11e9-a2fc-000d3a38a36f,185,12,1368.86,2,5,5,255,cant_loose,[ERKEK],
06cd8bae-9ebd-11e9-9897-000d3a38a36f,232,15,1664.83,2,5,5,255,cant_loose,"[ERKEK, AKTIFSPOR]",
06e6bc28-5330-11ea-acd3-000d3a38a36f,165,3,229.97,3,2,1,321,about_to_sleep,[AKTIFCOCUK],
07200298-418d-11eb-806e-000d3a38a36f,115,2,233.96,3,1,1,311,about_to_sleep,"[AKTIFCOCUK, KADIN]",
0754e39e-5eb4-11ea-be5b-000d3a38a36f,139,2,427.09,3,1,2,312,about_to_sleep,"[COCUK, KADIN]",
0768a930-ad46-11e9-a2fc-000d3a38a36f,171,2,355.94,3,1,2,312,about_to_sleep,[AKTIFCOCUK],
07b05898-db08-11ea-a65b-000d3a38a36f,138,3,879.94,3,2,4,324,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]",
081002e8-f26a-11e9-9346-000d3a38a36f,117,3,405.93,3,2,2,322,about_to_sleep,[COCUK],
087daaba-7189-11eb-a3e2-000d3a38a36f,134,2,99.38,3,1,1,311,about_to_sleep,"[ERKEK, KADIN]",
08828c30-4bc2-11ea-a626-000d3a38a36f,39,2,288.7,5,1,1,511,new_customers,[AKTIFCOCUK],
08934cc6-a6e2-11e9-a2fc-000d3a38a36f,171,2,569.97,3,1,3,313,about_to_sleep,"[ERKEK, AKTIFSPOR]",
08cd7574-b03b-11e9-9757-000d3a38a36f,154,3,396.45,3,2,2,322,about_to_sleep,"[ERKEK, COCUK, KADIN]",
08ce95e8-aac9-11e9-a2fc-000d3a38a36f,267,17,2689.83,1,5,5,155,cant_loose,"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]",
08f9f69c-a1fb-11e9-a2fc-000d3a38a36f,164,3,173.97,3,2,1,321,about_to_sleep,[ERKEK],
08fb032a-1208-11ea-916f-000d3a38a36f,116,2,147.76,3,1,1,311,about_to_sleep,[COCUK],
0904db6a-8504-11ea-80af-000d3a38a36f,34,2,211.84,5,1,1,511,new_customers,"[COCUK, KADIN, AKTIFSPOR]",
090d6e42-9da6-11e9-9897-000d3a38a36f,374,20,1951.95,1,5,5,155,cant_loose,"[ERKEK, KADIN]",
0961104a-aa55-11e9-a2fc-000d3a38a36f,364,9,1838.68,1,5,5,155,cant_loose,"[ERKEK, KADIN]",
